# 2023-05-18T17:50:50
geo lon (deg), geo lat (deg), alt (km), mag lon (deg), mag lat (deg)
-180.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-175.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-170.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-165.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-160.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-155.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-150.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-145.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-140.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-135.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-130.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-125.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-120.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-115.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-110.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-105.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-100.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-95.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-90.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-85.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-80.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-75.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-70.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-65.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-60.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-55.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-50.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-45.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-40.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-35.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-30.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-25.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-20.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-15.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-10.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
-5.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
0.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
5.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
10.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
15.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
20.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
25.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
30.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
35.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
40.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
45.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
50.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
55.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
60.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
65.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
70.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
75.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
80.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
85.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
90.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
95.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
100.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
105.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
110.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
115.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
120.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
125.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
130.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
135.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
140.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
145.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
150.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
155.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
160.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
165.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
170.0, -90.0, 500.0, 16.967403411865234, -75.56858825683594
