#geo lon (deg), geo lat (deg), maglat (deg)
-180.000000, -90.000000, -57.496108
-180.000000, -80.000000, -67.749111
-180.000000, -70.000000, -72.317683
-180.000000, -60.000000, -66.194327
-180.000000, -50.000000, -56.407361
-180.000000, -40.000000, -46.176424
-180.000000, -30.000000, -35.464703
-180.000000, -20.000000, -24.342957
-180.000000, -10.000000, -13.274149
-180.000000, 0.000000, -2.613546
-180.000000, 10.000000, 7.452747
-180.000000, 20.000000, 16.757720
-180.000000, 30.000000, 25.355314
-180.000000, 40.000000, 33.856896
-180.000000, 50.000000, 43.416193
-180.000000, 60.000000, 55.120118
-180.000000, 70.000000, 68.705719
-180.000000, 80.000000, 82.133870
-180.000000, 90.000000, 86.328040
-170.000000, -90.000000, -57.496029
-170.000000, -80.000000, -66.381491
-170.000000, -70.000000, -68.981664
-170.000000, -60.000000, -62.751825
-170.000000, -50.000000, -53.487966
-170.000000, -40.000000, -43.722297
-170.000000, -30.000000, -33.393888
-170.000000, -20.000000, -22.542689
-170.000000, -10.000000, -11.605274
-170.000000, 0.000000, -0.918600
-170.000000, 10.000000, 9.269872
-170.000000, 20.000000, 18.605844
-170.000000, 30.000000, 26.974410
-170.000000, 40.000000, 35.070234
-170.000000, 50.000000, 44.274014
-170.000000, 60.000000, 55.785988
-170.000000, 70.000000, 69.214395
-170.000000, 80.000000, 82.350378
-170.000000, 90.000000, 86.328027
-160.000000, -90.000000, -57.495921
-160.000000, -80.000000, -64.773668
-160.000000, -70.000000, -65.738743
-160.000000, -60.000000, -59.572497
-160.000000, -50.000000, -50.793613
-160.000000, -40.000000, -41.402179
-160.000000, -30.000000, -31.417202
-160.000000, -20.000000, -20.891931
-160.000000, -10.000000, -10.200223
-160.000000, 0.000000, 0.376893
-160.000000, 10.000000, 10.594713
-160.000000, 20.000000, 20.029650
-160.000000, 30.000000, 28.455568
-160.000000, 40.000000, 36.536700
-160.000000, 50.000000, 45.693151
-160.000000, 60.000000, 57.110448
-160.000000, 70.000000, 70.255845
-160.000000, 80.000000, 82.841020
-160.000000, 90.000000, 86.327983
-150.000000, -90.000000, -57.495787
-150.000000, -80.000000, -63.010945
-150.000000, -70.000000, -62.569963
-150.000000, -60.000000, -56.556523
-150.000000, -50.000000, -48.280413
-150.000000, -40.000000, -39.196730
-150.000000, -30.000000, -29.474845
-150.000000, -20.000000, -19.267088
-150.000000, -10.000000, -8.869434
-150.000000, 0.000000, 1.516500
-150.000000, 10.000000, 11.673208
-150.000000, 20.000000, 21.193151
-150.000000, 30.000000, 29.846432
-150.000000, 40.000000, 38.236662
-150.000000, 50.000000, 47.642148
-150.000000, 60.000000, 59.056383
-150.000000, 70.000000, 71.781155
-150.000000, 80.000000, 83.570493
-150.000000, 90.000000, 86.327908
-140.000000, -90.000000, -57.495631
-140.000000, -80.000000, -61.164850
-140.000000, -70.000000, -59.448790
