# 2023-09-28T16:39:49 (5.000000,5.000000)
geo lon (deg), geo lat (deg), alt (km), mag lon (deg), mag lat (deg)
-180.000000,-90.000000,80.000000,18.506468,-74.538330
-175.000000,-90.000000,80.000000,18.506468,-74.538330
-170.000000,-90.000000,80.000000,18.506466,-74.538330
-165.000000,-90.000000,80.000000,18.506468,-74.538330
-160.000000,-90.000000,80.000000,18.506468,-74.538330
-155.000000,-90.000000,80.000000,18.506470,-74.538330
-150.000000,-90.000000,80.000000,18.506470,-74.538330
-145.000000,-90.000000,80.000000,18.506470,-74.538330
-140.000000,-90.000000,80.000000,18.506470,-74.538330
-135.000000,-90.000000,80.000000,18.506468,-74.538330
-130.000000,-90.000000,80.000000,18.506468,-74.538330
-125.000000,-90.000000,80.000000,18.506466,-74.538330
-120.000000,-90.000000,80.000000,18.506466,-74.538330
-115.000000,-90.000000,80.000000,18.506464,-74.538330
-110.000000,-90.000000,80.000000,18.506468,-74.538330
-105.000000,-90.000000,80.000000,18.506464,-74.538330
-100.000000,-90.000000,80.000000,18.506466,-74.538330
-95.000000,-90.000000,80.000000,18.506464,-74.538330
-90.000000,-90.000000,80.000000,18.506464,-74.538330
-85.000000,-90.000000,80.000000,18.506464,-74.538330
-80.000000,-90.000000,80.000000,18.506464,-74.538330
-75.000000,-90.000000,80.000000,18.506462,-74.538330
-70.000000,-90.000000,80.000000,18.506460,-74.538330
-65.000000,-90.000000,80.000000,18.506460,-74.538330
-60.000000,-90.000000,80.000000,18.506460,-74.538330
-55.000000,-90.000000,80.000000,18.506460,-74.538330
-50.000000,-90.000000,80.000000,18.506458,-74.538330
-45.000000,-90.000000,80.000000,18.506458,-74.538330
-40.000000,-90.000000,80.000000,18.506458,-74.538330
-35.000000,-90.000000,80.000000,18.506454,-74.538338
-30.000000,-90.000000,80.000000,18.506454,-74.538330
-25.000000,-90.000000,80.000000,18.506454,-74.538330
-20.000000,-90.000000,80.000000,18.506453,-74.538330
-15.000000,-90.000000,80.000000,18.506453,-74.538330
-10.000000,-90.000000,80.000000,18.506453,-74.538330
-5.000000,-90.000000,80.000000,18.506451,-74.538330
0.000000,-90.000000,80.000000,18.506451,-74.538330
5.000000,-90.000000,80.000000,18.506451,-74.538330
10.000000,-90.000000,80.000000,18.506451,-74.538330
